gene_id	gene_name	description	biotype	9999	logCPM	LR	PValue	0
ENSG00000196440	ARMCX4	armadillo repeat containing, X-linked 4 [Source:HGNC Symbol;Acc:HGNC:28615]	protein_coding	9999	 4.9735822	4.321e+00	 3.765e-02	0
ENSG00000257315	ZBED6	zinc finger, BED-type containing 6 [Source:HGNC Symbol;Acc:HGNC:33273]	protein_coding	9999	 4.6771696	4.317e+00	 3.773e-02	0
ENSG00000042753	AP2S1	adaptor-related protein complex 2, sigma 1 subunit [Source:HGNC Symbol;Acc:HGNC:565]	protein_coding	-9999	 7.0100118	4.309e+00	 3.791e-02	0
ENSG00000154642	C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	protein_coding	-9999	 3.6904252	4.308e+00	 3.794e-02	0
ENSG00000229212	RP11-561C5.4		transcribed_unprocessed_pseudogene	9999	-0.2871730	4.305e+00	 3.800e-02	0
ENSG00000177058	SLC38A9	solute carrier family 38, member 9 [Source:HGNC Symbol;Acc:HGNC:26907]	protein_coding	-9999	 3.2943796	4.304e+00	 3.802e-02	0
ENSG00000132466	ANKRD17	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]	protein_coding	-9999	 7.1839792	4.301e+00	 3.810e-02	0
ENSG00000230397	SPTLC1P1	serine palmitoyltransferase, long chain base subunit 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39668]	transcribed_processed_pseudogene	-9999	-2.3108349	4.295e+00	 3.821e-02	0
ENSG00000105778	AVL9	AVL9 homolog (S. cerevisiase) [Source:HGNC Symbol;Acc:HGNC:28994]	protein_coding	-9999	 5.3414046	4.293e+00	 3.826e-02	0
ENSG00000183665	TRMT12	tRNA methyltransferase 12 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:26091]	protein_coding	-9999	 3.3102430	4.281e+00	 3.854e-02	0
