gene_id	gene_name	description	biotype	9999	logCPM	LR	PValue	0
ENSG00000278219	AC145343.1		miRNA	-9999	-1.384414	4.410e+00	 3.574e-02	0
ENSG00000103852	TTC23	tetratricopeptide repeat domain 23 [Source:HGNC Symbol;Acc:HGNC:25730]	protein_coding	-9999	 4.460970	4.409e+00	 3.575e-02	0
ENSG00000012048	BRCA1	breast cancer 1, early onset [Source:HGNC Symbol;Acc:HGNC:1100]	protein_coding	9999	 2.478377	4.409e+00	 3.575e-02	0
ENSG00000172071	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	protein_coding	-9999	 4.714594	4.407e+00	 3.580e-02	0
ENSG00000127445	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	protein_coding	9999	 5.458457	4.406e+00	 3.582e-02	0
ENSG00000153107	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	protein_coding	-9999	 4.985014	4.404e+00	 3.585e-02	0
ENSG00000106992	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	protein_coding	9999	 3.359930	4.401e+00	 3.591e-02	0
ENSG00000048828	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]	protein_coding	-9999	 7.833957	4.401e+00	 3.591e-02	0
ENSG00000119231	SENP5	SUMO1/sentrin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:28407]	protein_coding	9999	 5.446511	4.398e+00	 3.599e-02	0
ENSG00000269968	RP5-940J5.9		antisense	9999	-1.291680	4.396e+00	 3.603e-02	0
ENSG00000230397	SPTLC1P1	serine palmitoyltransferase, long chain base subunit 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39668]	transcribed_processed_pseudogene	-9999	-0.670756	4.396e+00	 3.603e-02	0
ENSG00000100129	EIF3L	eukaryotic translation initiation factor 3, subunit L [Source:HGNC Symbol;Acc:HGNC:18138]	protein_coding	9999	 7.016194	4.393e+00	 3.610e-02	0
ENSG00000173674	EIF1AX	eukaryotic translation initiation factor 1A, X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	protein_coding	9999	 6.364140	4.392e+00	 3.611e-02	0
ENSG00000253200	RP11-582J16.5		antisense	-9999	 1.854407	4.390e+00	 3.615e-02	0
ENSG00000100519	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6 [Source:HGNC Symbol;Acc:HGNC:9553]	protein_coding	9999	 5.479511	4.383e+00	 3.631e-02	0
ENSG00000184117	NIPSNAP1	nipsnap homolog 1 (C. elegans) [Source:HGNC Symbol;Acc:HGNC:7827]	protein_coding	-9999	 4.713329	4.381e+00	 3.634e-02	0
ENSG00000102683	SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:HGNC:10809]	protein_coding	-9999	-3.632496	4.381e+00	 3.635e-02	0
ENSG00000126005	MMP24-AS1	MMP24 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44421]	antisense	9999	 5.094975	4.375e+00	 3.647e-02	0
ENSG00000178896	EXOSC4	exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]	protein_coding	9999	 3.631082	4.374e+00	 3.649e-02	0
ENSG00000131100	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	protein_coding	-9999	 6.756833	4.372e+00	 3.653e-02	0
ENSG00000248124	RRN3P1	RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30548]	transcribed_unprocessed_pseudogene	-9999	 3.772034	4.372e+00	 3.653e-02	0
ENSG00000137054	POLR1E	polymerase (RNA) I polypeptide E, 53kDa [Source:HGNC Symbol;Acc:HGNC:17631]	protein_coding	-9999	 4.407685	4.371e+00	 3.656e-02	0
ENSG00000136935	GOLGA1	golgin A1 [Source:HGNC Symbol;Acc:HGNC:4424]	protein_coding	9999	 4.884876	4.370e+00	 3.659e-02	0
ENSG00000110048	OSBP	oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]	protein_coding	9999	 6.468464	4.367e+00	 3.664e-02	0
ENSG00000255310	AF131215.2		sense_intronic	9999	 1.437726	4.363e+00	 3.672e-02	0
ENSG00000172869	DMXL1	Dmx-like 1 [Source:HGNC Symbol;Acc:HGNC:2937]	protein_coding	-9999	 5.542546	4.362e+00	 3.675e-02	0
ENSG00000166529	ZSCAN21	zinc finger and SCAN domain containing 21 [Source:HGNC Symbol;Acc:HGNC:13104]	protein_coding	9999	 3.399210	4.361e+00	 3.678e-02	0
ENSG00000102302	FGD1	FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]	protein_coding	-9999	 4.526237	4.357e+00	 3.685e-02	0
ENSG00000089063	TMEM230	transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]	protein_coding	-9999	 6.203028	4.357e+00	 3.686e-02	0
ENSG00000156502	SUPV3L1	suppressor of var1, 3-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:11471]	protein_coding	-9999	 4.024852	4.354e+00	 3.692e-02	0
ENSG00000163626	COX18	COX18 cytochrome C oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:26801]	protein_coding	9999	 4.180354	4.352e+00	 3.697e-02	0
ENSG00000178464	CTD-2192J16.15		processed_pseudogene	-9999	 2.409772	4.350e+00	 3.700e-02	0
ENSG00000117262	GPR89A	G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984]	protein_coding	9999	 2.420611	4.347e+00	 3.708e-02	0
ENSG00000273226	RP11-513M16.8		antisense	9999	-0.117856	4.346e+00	 3.710e-02	0
ENSG00000165891	E2F7	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]	protein_coding	-9999	 3.894874	4.345e+00	 3.711e-02	0
ENSG00000170270	C14orf142	chromosome 14 open reading frame 142 [Source:HGNC Symbol;Acc:HGNC:20356]	protein_coding	-9999	 2.121134	4.343e+00	 3.717e-02	0
ENSG00000135940	COX5B	cytochrome c oxidase subunit Vb [Source:HGNC Symbol;Acc:HGNC:2269]	protein_coding	-9999	 6.172471	4.342e+00	 3.717e-02	0
ENSG00000266017	MIR4477A	microRNA 4477a [Source:HGNC Symbol;Acc:HGNC:41859]	miRNA	-9999	-1.661083	4.342e+00	 3.718e-02	0
